Motor_Current_A,Oil_Temperature_C,Line_Pressure_bar,Filter_DeltaP_bar,Vibration_RMS_mm_s,Running_Hours,Status,Label,Reason
38.9,89.29,3.08,0.225,2.42,2156,Warning,1,Service interval warning (2000-3000 hrs)
59.33,94.59,2.9,0.237,4.81,1639.5,Warning,1,Multiple parameters in warning range
34.68,104.85,3.08,0.532,4.25,511.6,Critical,2,Filter choking (High temperature + High ΔP)
26.02,99.59,2.76,0.572,5.26,4040.1,Critical,2,Service critical (>3000 hrs) - Service required
27.87,66.94,2.82,0.047,1.59,542.7,Normal,0,None
27.42,90.64,3.13,0.251,0,1630.9,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
55.61,80.06,2.93,0.023,1.28,650.4,Normal,0,None
67.29,76.93,3.1,0.1,1.89,855.1,Warning,1,Motor current in warning range (60-70A)
56.36,66.98,3.38,0.154,0.86,154,Warning,1,Line pressure high warning (3.2-3.6 bar)
56.5,75.79,3.09,0.472,1.3,220.1,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
25.16,75.73,3,0.046,0.51,675.2,Normal,0,None
58.65,67.61,3.05,0.288,1.17,73.8,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
57.57,93.88,3.51,0.196,5.08,2261.6,Warning,1,Multiple parameters in warning range
29.26,100.98,2.93,0.167,0.21,1181.8,Warning,1,Oil temperature in warning range (90-105°C)
49.59,70.37,3.58,0.041,1.2,226.9,Warning,1,Line pressure high warning (3.2-3.6 bar)
28.35,87.44,3.17,0.392,1.39,698.4,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
47.62,61.81,3.3,0.184,2.31,18.4,Warning,1,Line pressure high warning (3.2-3.6 bar)
50.25,67.94,2.97,0.147,2.52,1698.4,Normal,0,None
34.29,68.77,3.18,0.206,4.74,2631.1,Warning,1,Service interval warning (2000-3000 hrs)
34.4,90.14,3.07,0.181,3.75,1907.9,Warning,1,Oil temperature in warning range (90-105°C)
58.83,84.34,3.32,0.081,3.32,633.8,Warning,1,Line pressure high warning (3.2-3.6 bar)
46.6,90.78,2.48,0.09,3.42,1481.5,Warning,1,Line pressure low warning (2.4-2.8 bar)
53.61,85.44,3.17,0.48,2.01,1003,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
38.52,63.51,2.6,0.002,1.97,1085.3,Warning,1,Line pressure low warning (2.4-2.8 bar)
29.47,97.18,3.15,0.189,2.29,170.7,Warning,1,Oil temperature in warning range (90-105°C)
68.05,68.63,2.99,0.004,0.07,1925.3,Warning,1,Motor current in warning range (60-70A)
31.54,68.54,2.59,0.138,2.77,559.9,Warning,1,Line pressure low warning (2.4-2.8 bar)
25.15,62.56,2.82,0.18,3.32,1407.3,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
31.78,71.58,2.98,0.385,2.44,90.6,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
56.29,99.43,2.5,0.318,5.63,2075.5,Warning,1,Multiple parameters in warning range
58.09,95.17,3.18,0.281,0.72,138.7,Warning,1,Oil temperature in warning range (90-105°C)
30.74,90.52,3.12,0.658,7,4607,Critical,2,Service critical (>3000 hrs) - Service required
59.56,73.48,2.97,0.441,1.49,1861.5,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
36.21,87.19,2.95,0.103,4.78,2091.3,Warning,1,Service interval warning (2000-3000 hrs)
56.9,80.81,3.66,0.155,4.72,2257.1,Critical,2,Line pressure critically high (>3.6 bar)
61.28,101.93,2.86,0.182,3.38,2261.5,Warning,1,Multiple parameters in warning range
55.37,100.03,3.19,0.168,3.29,2486.6,Warning,1,Multiple parameters in warning range
40.59,103.92,2.83,0.229,0.2,937.3,Warning,1,Oil temperature in warning range (90-105°C)
58.79,71.26,2.92,0.166,0.9,1926.4,Normal,0,None
66.54,83.06,2.97,0.117,2.28,1802.3,Warning,1,Motor current in warning range (60-70A)
41.4,72.48,3.05,0.01,3.81,1972.4,Normal,0,None
57.13,85.86,3.17,0.128,2.59,836.5,Normal,0,None
58.95,85.31,3.13,0.2,3.14,2273.4,Warning,1,Service interval warning (2000-3000 hrs)
58.32,78.52,2.88,0.15,2.48,716.3,Normal,0,None
43.53,86.93,3,0.119,6.74,807,Warning,1,Vibration in warning range (4-7 mm/s)
37.85,74.75,3.13,0.287,2.05,1567.3,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
41.25,88.46,2.99,0.055,2.53,480.3,Normal,0,None
48.84,65.06,2.86,0.003,0.56,557.2,Normal,0,None
64.98,80.49,2.83,0.167,2.46,163.5,Warning,1,Motor current in warning range (60-70A)
37.68,75.11,3.05,0.105,1.96,1494.9,Normal,0,None
28.43,95.63,3.05,0.195,1.08,754.6,Warning,1,Oil temperature in warning range (90-105°C)
29.65,83.29,2.12,0.382,3.21,382.7,Critical,2,Line pressure critically low (<2.4 bar)
37.14,89.11,3.03,0.039,0.41,305.7,Normal,0,None
38.95,88.89,2.86,0.085,3.78,1731,Normal,0,None
68.91,74.9,3,0.056,3.1,374.1,Warning,1,Motor current in warning range (60-70A)
34.65,76.58,2.85,0.354,2.07,103.6,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
62.83,80.24,3.11,0.113,1.89,823.7,Warning,1,Motor current in warning range (60-70A)
45.03,85.65,2.45,0.162,1.01,327.3,Warning,1,Line pressure low warning (2.4-2.8 bar)
36.62,85.96,2.96,0.18,1.79,753.9,Normal,0,None
60.65,94.39,3.43,0.309,3.31,2439.8,Warning,1,Multiple parameters in warning range
64.72,94.81,3.4,0.342,3.5,1811.7,Warning,1,Multiple parameters in warning range
37.14,84.19,2.85,0.177,0.42,794.6,Normal,0,None
49.31,80.73,3.09,0.362,1.04,691.4,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
42.14,78.82,2.41,0.167,3.78,1130.3,Warning,1,Line pressure low warning (2.4-2.8 bar)
44.68,78.08,2.97,0.258,4.63,2925.6,Warning,1,Service interval warning (2000-3000 hrs)
66.31,75.91,3.3,0,7.87,1194.5,Critical,2,Bearing/Alignment issue (High current + High vibration)
64.71,93.99,2.72,0.27,3.61,1676.4,Warning,1,Multiple parameters in warning range
26.02,82.48,2.87,0.192,0.59,829.2,Normal,0,None
31.99,87.05,2.88,0.053,0,944.1,Normal,0,None
39.57,75.38,2.85,0.025,3.62,1892.2,Normal,0,None
26.25,63.56,3.08,0.137,0,443.9,Normal,0,None
28.84,66.21,3.1,0.177,3.29,794.4,Normal,0,None
25.92,91.1,2.87,0.164,0.66,1166.1,Warning,1,Oil temperature in warning range (90-105°C)
44.96,68.25,3.05,0.076,2.25,872.3,Normal,0,None
68.18,93.04,3.37,0.357,4.29,1522.5,Warning,1,Multiple parameters in warning range
69.21,83.85,2.65,0.586,0,2742.9,Critical,2,Filter choked (ΔP >0.5 bar)
47.93,85.87,2.92,0.112,2.23,2900,Warning,1,Service interval warning (2000-3000 hrs)
47.71,61.5,2.64,0.712,0.44,1809.5,Critical,2,Filter choked (ΔP >0.5 bar)
49.74,69.61,3.02,0.096,2.91,1873.7,Normal,0,None
39.99,94.06,2.64,0.53,5.04,1486.5,Critical,2,Filter choked (ΔP >0.5 bar)
52.94,101.04,2.91,0.225,1.48,183.2,Warning,1,Oil temperature in warning range (90-105°C)
53.53,80.19,2.68,0.173,0.87,978.8,Warning,1,Line pressure low warning (2.4-2.8 bar)
57.02,61.7,3.08,0.06,3.79,1942.1,Normal,0,None
26.41,88.09,2.71,0.534,0.49,2088.9,Critical,2,Filter choked (ΔP >0.5 bar)
43.92,84.79,2.92,0.139,3.77,1231.7,Normal,0,None
55.4,89.1,3.1,0.17,3.17,2737.6,Warning,1,Service interval warning (2000-3000 hrs)
39.11,69.51,2.56,0.305,7.95,3855.5,Critical,2,Service critical (>3000 hrs) - Service required
46.81,65.3,3.25,0.04,3.72,1299.3,Normal,0,None
33.43,65.02,3.1,0.31,0.18,1938.2,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
33.15,75.5,3.03,0.119,0.4,1754.9,Normal,0,None
47.92,78.32,2.82,0.184,3.12,2259.8,Warning,1,Service interval warning (2000-3000 hrs)
42.41,78.36,3.12,0.075,2.82,1131.5,Normal,0,None
69.2,86.67,3.08,0.169,2.91,1360.3,Warning,1,Motor current in warning range (60-70A)
57,101.55,3.33,0.263,3.09,1787,Warning,1,Multiple parameters in warning range
47.14,76.48,3.12,0.023,3,1082.5,Normal,0,None
3.11,80.69,2.07,0.19,1.38,1862.7,Critical,2,Motor current fault (<10A) - Belt/coupling/unload fault
49.14,72.88,2.89,0.207,5.3,902.8,Warning,1,Vibration in warning range (4-7 mm/s)
47.63,70.04,3.16,0.23,1.66,1887.2,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
58.81,73.72,3.16,0.057,0.89,62.3,Normal,0,None
59.92,98.21,3.28,0.687,1.06,97.6,Critical,2,Filter choked (ΔP >0.5 bar)
29.17,91.2,3.09,0.208,0.76,983.2,Warning,1,Oil temperature in warning range (90-105°C)
24.46,62.96,2.97,0.086,2.4,583.3,Normal,0,None
35.78,104.43,2.65,0.229,8.83,2107.4,Critical,2,Vibration critical (>7 mm/s)
64.99,62.96,2.09,0.08,4.07,2068.4,Critical,2,Air leak/Airend wear (High current + Low pressure)
